module/name	submodule/io	submodule/name	group/name	subgroup-1/name	subgroup-2/name	subgroup-3/name 	variable/name	cpp/class	cpp/function	cpp/parameter
Contain	output	Fire	Fire Size - at resource arrival time				Fire Perimeter - at resource arrival time	SIGContainAdapter	getPerimeterAtInitialAttack
Contain	output	Fire	Resources				Number of Resources Used	SIGContainAdapter	getResourcesUsed
Contain	output	Fire	Fire Size - at resource arrival time				Fire Area - at resource arrival time	SIGContainAdapter	getFireSizeAtInitialAttack
Contain	output	Fire	Containment				Contain Status	SIGContainAdapter	getContainmentStatus
Contain	output	Fire	Containment				Contained Area	SIGContainAdapter	getFinalContainmentArea
Contain	output	Fire	Containment				Time from Report	SIGContainAdapter	getFinalTimeSinceReport	timeUnits
Contain	output	Fire	Containment				Fireline Constructed	SIGContainAdapter	getFinalFireLineLength	lengthUnits
Contain	input	Fire	Fire Size at Report				Fire Size at Report	SIGContainAdapter	setReportSize	reportSize
Contain	input	Suppression	Line Construction Offset				Line Construction Offset	SIGContainAdapter	setAttackDistance	attackDistance
Contain	input	Suppression	Tactic				Tactic	SIGContainAdapter	setTactic	tactic
Contain	input	Suppression	Resources				Resource Duration	SIGContainAdapter	addResource	duration
Contain	input	Suppression	Resources				Resource Arrival Time	SIGContainAdapter	addResource	arrival
Contain	input	Suppression	Resources				Resource Name	SIGContainAdapter	addResource	description
Contain	input	Suppression	Resources				Resource Line Production Rate	SIGContainAdapter	addResource	productionRate
Contain	input	Fire	Surface Rate of Spread (maximum)				Surface Fire Rate of Spread (maximum)	SIGContainAdapter	setReportRate	reportRate
Contain	input	Fire	Length-to-Width Ratio				Length-to-Width Ratio	SIGContainAdapter	setLwRatio	lwRatio
Crown     	output 	Fire Type                           	Fire Type                        	Fire Type (required)                   	                                         	                       	Fire Type (required)                    	SIGCrown       	getFireType                                               	                                      	
Crown     	output 	Fire Type                           	Transition to Crown Fire         	Transition Ratio                       	                                         	                       	Transition Ratio                        	SIGCrown       	getCrownTransitionRatio                         	                                      	
Crown     	output 	Fire Type                           	Transition to Crown Fire         	Critical Surface Flame Length          	                                         	                       	Critical Surface Flame Length           	SIGCrown       	getCrownCriticalSurfaceFlameLength                  	                                      	
Crown     	output 	Fire Type                           	Transition to Crown Fire         	Critical Surface Rate of Spread        	                                         	                       	Critical Surface Rate of Spread         	SIGCrown       	getCrownCriticalFireSpreadRate                      	                                      	
Crown     	output 	Fire Type                           	Transition to Crown Fire         	Critical Surface Fireline Intensity    	                                         	                       	Critical Surface Fireline Intensity     	SIGCrown       	getCrownCriticalSurfaceFirelineIntensity                	                                      	
Crown     	output 	Fire Type                           	Active or Independent Crown Fire 	Active Ratio                           	                                         	                       	Active Ratio                            	SIGCrown       	getCrownFireActiveRatio                             	                                      	
Crown     	output 	Fire Type                           	Active or Independent Crown Fire 	Critical Crown Rate of Spread          	                                         	                       	Critical Crown Rate of Spread           	SIGCrown       	getCrownCriticalFireSpreadRate                      	                                      	
Crown     	output 	Fire Type                           	Fire Behavior                    	Rate of Spread                         	                                         	                       	Rate of Spread                          	SIGCrown       	getCrownFireSpreadRate                                    	                                      	
Crown     	output 	Fire Type                           	Fire Behavior                    	Flame Length                           	                                         	                       	Flame Length                            	SIGCrown       	getCrownFlameLength                                       	                                      	
Crown     	output 	Size                                	Spread Distance                  	                                       	                                         	                       	Spread Distance                         	SIGCrown       	getCrownFireSpreadDistance                                	                                      	
